,0
0,0.13931972789115646
1,0.7430385487528345
2,1.3235374149659864
3,1.9272562358276644
4,2.507755102040816
5,3.1346938775510202
6,3.7384126984126986
7,4.342131519274377
8,4.922630385487528
9,5.5495691609977325
10,6.130068027210885
11,6.710566893424036
12,7.314285714285714
13,7.9412244897959186
14,8.52172335600907
15,9.125442176870749
16,9.7059410430839
17,10.332879818594105
18,10.936598639455783
19,11.517097505668934
20,12.120816326530612
21,12.72453514739229
22,13.328253968253968
23,13.931972789115646
24,14.512471655328799
25,15.116190476190477
26,15.719909297052155
27,16.32362811791383
28,16.92734693877551
29,17.531065759637187
30,18.11156462585034
31,18.715283446712018
32,19.319002267573698
33,19.922721088435374
34,20.526439909297054
35,21.106938775510205
36,21.71065759637188
37,22.31437641723356
38,22.918095238095237
39,23.521814058956917
40,24.125532879818593
41,24.729251700680273
42,25.33297052154195
43,25.913469387755104
44,26.51718820861678
45,27.12090702947846
46,27.724625850340136
47,28.305124716553287
48,28.908843537414967
49,29.512562358276643
50,30.116281179138323
51,30.72
52,31.32371882086168
53,31.927437641723355
54,32.53115646258503
55,33.111655328798186
56,33.715374149659866
57,34.319092970521545
58,34.92281179138322
59,35.5265306122449
60,36.13024943310658
61,36.73396825396826
62,37.33768707482993
63,37.918185941043085
64,38.521904761904764
65,39.12562358276644
66,39.72934240362812
67,40.333061224489796
68,40.91356009070295
69,41.517278911564624
70,42.120997732426304
71,42.72471655328798
72,43.32843537414966
73,43.932154195011336
74,44.535873015873015
75,45.11637188208617
76,45.72009070294784
77,46.32380952380952
78,46.9275283446712
79,47.50802721088435
80,48.11174603174603
81,48.71546485260771
82,49.31918367346939
83,49.92290249433107
84,50.52662131519274
85,51.13034013605442
86,51.7340589569161
87,52.31455782312925
88,52.91827664399093
89,53.52199546485261
90,54.12571428571429
91,54.72943310657596
92,55.33315192743764
93,55.93687074829932
94,56.517369614512475
95,57.12108843537415
96,57.72480725623583
97,58.32852607709751
98,58.93224489795919
99,59.512743764172335
100,60.116462585034014
101,60.720181405895694
102,61.32390022675737
103,61.92761904761905
104,62.531337868480726
105,63.135056689342406
106,63.73877551020408
107,64.31927437641724
108,64.92299319727891
109,65.52671201814059
110,66.13043083900227
111,66.73414965986395
112,67.3146485260771
113,67.91836734693878
114,68.52208616780045
115,69.12580498866213
116,69.72952380952381
117,70.33324263038548
118,70.93696145124717
119,71.51746031746032
120,72.12117913832199
121,72.72489795918368
122,73.32861678004535
123,73.93233560090702
124,74.51283446712019
125,75.11655328798186
126,75.72027210884353
127,76.32399092970522
128,76.92770975056689
129,77.53142857142858
130,78.13514739229025
131,78.7156462585034
132,79.31936507936508
133,79.92308390022676
134,80.52680272108843
135,81.13052154195012
136,81.71102040816326
137,82.31473922902494
138,82.91845804988662
139,83.5221768707483
140,84.12589569160998
141,84.72961451247166
142,85.33333333333333
143,85.91383219954649
144,86.51755102040816
145,87.12126984126984
146,87.72498866213152
147,88.3287074829932
148,88.93242630385488
149,89.53614512471655
150,90.1166439909297
151,90.72036281179139
152,91.32408163265306
153,91.92780045351473
154,92.53151927437642
155,93.1352380952381
156,93.71573696145124
157,94.31945578231293
158,94.9231746031746
159,95.52689342403629
160,96.13061224489796
161,96.73433106575963
162,97.3148299319728
163,97.91854875283447
164,98.52226757369614
165,99.12598639455783
166,99.7297052154195
167,100.33342403628117
168,100.91392290249433
169,101.51764172335601
170,102.1213605442177
171,102.72507936507937
172,103.32879818594104
